Company,Website,Email,Country,Type,scraped_at
1С,https://www.1c.ru,,Russia,Software / ERP,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,autovybor.pr@yandex.ru,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,burtsew.pav@yandex.ru,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,dzen-pro-bv-stella@3x.png,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,info@ugona.net,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,modal-emoji-left@3x.png,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,modal-emoji-right@3x.png,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,modal-emoji@3x.png,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,nllesya86@yandex.ru,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,pochinka78@mail.ru,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,pr.vovque@gmail.com,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,sales@sferacar.ru,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,vasily.mishlen@gmail.com,Russia,Technology / Internet,2026-05-14 12:25:17
Яндекс,https://www.yandex.ru,yuzinovieva@gmail.com,Russia,Technology / Internet,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,empr@kaspersky.com,Russia,Cybersecurity,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,enquiry.sea@kaspersky.com,Russia,Cybersecurity,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,info@kaspersky.com,Russia,Cybersecurity,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,info@kaspersky.de,Russia,Cybersecurity,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,sale@kaspersky.com,Russia,Cybersecurity,2026-05-14 12:25:17
Kaspersky Lab,https://www.kaspersky.ru,u003einfo@kaspersky.com,Russia,Cybersecurity,2026-05-14 12:25:17
EPAM Systems,https://www.epam.com,,Russia,IT Services,2026-05-14 12:25:17
Softline,https://www.softline.ru,edusales@softline.ru,Russia,IT Distribution,2026-05-14 12:25:17
Softline,https://www.softline.ru,info.spb@softline.com,Russia,IT Distribution,2026-05-14 12:25:17
Softline,https://www.softline.ru,info@allsoft.ru,Russia,IT Distribution,2026-05-14 12:25:17
Softline,https://www.softline.ru,info@softline.com,Russia,IT Distribution,2026-05-14 12:25:17
Softline,https://www.softline.ru,sales@softline.ru,Russia,IT Distribution,2026-05-14 12:25:17
Ростелеком,https://www.rostelecom.ru,,Russia,Telecom,2026-05-14 12:25:17
МТС,https://www.mts.ru,,Russia,Telecom,2026-05-14 12:25:17
Билайн,https://www.beeline.ru,otvet@beeline.ru,Russia,Telecom,2026-05-14 12:25:17
МегаФон,https://www.megafon.ru,info@megafon.ru,Russia,Telecom,2026-05-14 12:25:17
Сбер Бизнес,https://www.sberbank.ru/ru/s_m_business,,Russia,Banking / Fintech,2026-05-14 12:25:17
ВТБ Бизнес,https://www.vtb.ru/malyj-biznes,,Russia,Banking / Fintech,2026-05-14 12:25:17
Тинькофф Бизнес,https://www.tinkoff.ru/business,,Russia,Banking / Fintech,2026-05-14 12:25:17
Контур,https://www.kontur.ru,,Russia,Software / SaaS,2026-05-14 12:25:17
КРОК,https://www.croc.ru,,Russia,IT Services,2026-05-14 12:25:17
Ланит,https://www.lanit.ru,event@lanit.ru,Russia,IT Services,2026-05-14 12:25:17
Ланит,https://www.lanit.ru,lanit@lanit.ru,Russia,IT Services,2026-05-14 12:25:17
Ланит,https://www.lanit.ru,pressa@lanit.ru,Russia,IT Services,2026-05-14 12:25:17
Ланит,https://www.lanit.ru,ventures@lanit.ru,Russia,IT Services,2026-05-14 12:25:17
Техносерв,https://www.technoserv.com,,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,about-us-bg@2x-min.png,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,digital@jet.su,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,info@jet.su,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,journal@jet.su,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,pin-mobile@2x.png,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,projectsmaskbig@2x.png,Russia,IT Services,2026-05-14 12:25:17
Инфосистемы Джет,https://www.jet.su,projectsmaskbig@2x.webp,Russia,IT Services,2026-05-14 12:25:17
АйТеко,https://www.aiteco.ru,,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,03@itgid.net,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,1@serbis.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,202394@mail.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,244904@uk2.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,a.zonov@gsgroup.it,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,admin@chita.so-ups.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,admin@expert-ast.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,apo@autograph.com.ru,Russia,IT Services,2026-05-14 12:25:17
ICL Services,https://www.icl-services.com,arshavskiy@konkorde.ru,Russia,IT Services,2026-05-14 12:25:17
